Symbol	Name_1	Name_2	Currency	Type	Exchange	Employees
621412	MRF Limited	MRF	INR	SHARE	BOM	"30,731.0"
B2Q4CS	"MS&AD Insurance Group Holdings, Inc."	MS&AD Insurance Group	JPY	SHARE	TKS	"41,501.0"
B2972D	MSCI Inc. Class A	MSCI Inc A	USD	SHARE	NYS	"3,633.0"
656320	MTN Group Limited	MTN Group	ZAR	SHARE	JSE	#N/A
629005	MTR Corporation Limited	MTR	HKD	SHARE	HKG	"31,968.0"
B09DHL	MTU Aero Engines AG	MTU Aero Engines	EUR	SHARE	ETR	"10,508.0"
BFXP65	Muangthai Capital Public Co. Ltd.	Muangthai Capital	THB	SHARE	BKK	#N/A
BHZSKR	Multichoice Group Ltd	MultiChoice Group	ZAR	SHARE	JSE	"7,028.0"
529412	Munich Reinsurance Company	Muenchener Rueckversicher	EUR	SHARE	ETR	"39,281.0"
661040	"Murata Manufacturing Co., Ltd."	Murata Manufacturing	JPY	SHARE	TKS	"75,184.0"
B40MFF	Muthoot Finance Limited	Muthoot Finance	INR	SHARE	BOM	#N/A
662158	Nan Ya Plastics Corporation	Nan Ya Plastics	TWD	SHARE	TAI	#N/A
B11875	Nan Ya Printed Circuit Board Corporation	Nan Ya Printed Circuit	TWD	SHARE	TAI	#N/A
628360	Nanya Technology Corporation	Nanya Technology	TWD	SHARE	TAI	#N/A
296510	"Nasdaq, Inc."	Nasdaq	USD	SHARE	NAS	"5,814.0"
662269	Naspers Limited Class N	Naspers N	ZAR	SHARE	JSE	"28,445.0"
662460	National Australia Bank Limited	National Australia Bank	AUD	SHARE	ASX	"33,275.0"
207730	National Bank of Canada	National Bank of Canada	CAD	SHARE	TSE	"26,920.0"
688952	National Bank of Kuwait K.S.C.	National Bank of Kuwait	KWD	SHARE	KUW	#N/A
BDR05C	National Grid plc	National Grid	GBP	SHARE	LON	"23,683.0"
B136MP	National Industrialization Co.	TASNEE	SAR	SHARE	SAU	#N/A
BJRFY3	Natura & Co Holding SA	Natura & Co Holding	BRL	SHARE	BSP	993.0
565042	"Naturgy Energy Group, S.A."	Naturgy Energy Group	EUR	SHARE	MCE	"7,366.0"
B7T772	NatWest Group Plc	NatWest Group	GBP	SHARE	LON	"57,800.0"
656039	NAVER Corp.	NAVER	KRW	SHARE	KRX	"4,678.0"
626418	NCsoft Corporation	NCsoft	KRW	SHARE	KRX	"4,620.0"
664040	NEC Corp.	NEC	JPY	SHARE	TKS	"114,714.0"
